	CSCW	CSCX	CSGH	CSGO	CSGT	CSGW	CSGY	CSHY	CSNA	CSNB	CSNS	CXON	CXOT	CXPP	CXPU	CXPY	CXSC	CXSG	CXSH	CXSN	CXSP	HZHY	HZIA	HZIB	PTWY	PTWZ	PTXA	PTXB	PTXC	PTXG	PTXH	PTXN	PTXO	PTXP	PTXS	PTXT	PTXU	PTXW	PTXX	PTXY	PTXZ	PTYA	PTYB	PTYC	PTYG	PTYH	PTYN	PTYO	PTYP	PTYS	PTYT	PTYU	PTYW	PTYX	PTYY	PTYZ	PTZA	PTZB	PTZC	PTZG	PTZH	PTZN	PTZO	PTZP	PTZS	PTZT	PTZU	PTZW	PTZX	PTZY	PTZZ	PUAA	PUAB	PUAC	PUAG	PUAH	PUAN	PUAO	PUAP	PUAS	PUAT	PUAU	PUAW	PUAX	PUAY	PUAZ	PUBA	PUBB	PUBC	PUBG	PUBH	PUBN	PUBO	PUBP	PUBS	PUBT	PUBU
AAA487-M09/LD12	1.5867071896907214	5.7801305845360815	2.7368719793814438	2.507257171134021	3.0798381041237106	2.0994108835051546	0.8114834938144331	2.8322118226804127	8.670902382474225	4.712865115463919	3.4450526731958773	2.465991072164948	14.426440134020613	4.235007478350516	14.334756381443288	1.4607680577319584	1.6742390567010308	1.899396415463917	2.431356454639175	1.8840519546391752	2.8339891391752583	1.9795164082474233	7.0934914185567	18.983021853608246	2.205277598969072	7.5073345257731985	11.607906519587633	2.3007008628865977	3.552022324742268	5.2340915876288685	9.825423588659797	3.5237040917525766	7.6015507824742246	5.253836688659792	5.553772382474227	8.616759515463919	6.622254881443299	9.836511164948458	5.2412849340206185	7.758123563917527	3.7216730164948446	7.324278494845362	8.674497421649482	3.822499422680412	9.620951213402062	1.225967117525773	2.990791403092783	7.521511328865981	6.814914840206183	1.6498281731958755	5.669227910309276	8.491728765979381	6.512254826804127	7.611164247422682	12.330440402061855	5.770632816494846	8.22598273917526	2.8492634525773197	5.841716443298969	9.964149381443304	16.37511462886598	4.482043449484538	7.9340063350515475	2.145980330927836	3.0363846216494847	3.425264820618556	8.811210432989691	4.470942794845358	5.248601349484537	5.27673938659794	7.119045612371135	1.256046058041237	7.609463005154637	0.97463339	7.317398029896907	1.1920707020618553	2.4670655412371127	6.709208432989692	7.992016432989692	1.5172567360824745	6.924939717525778	6.7397607144329905	5.117946873195876	3.0379549783505144	8.433430658762887	6.031679679381443	1.1216525577319587	2.8854396886597957	8.190060606185567	6.240148956701031	3.486508250515464	5.326815938144331	6.4127614649484554	2.0185795628865977	2.5954420020618563	2.150678402061856	13.946435175257726
AAA028-D10/LD12	8.888403508771932	25.991450877192978	12.55599666666667	14.907319298245614	13.545274210526314	12.233872631578945	5.394899298245614	13.694018421052627	53.08221982456143	21.49588421052632	17.878495789473686	11.067415964912284	74.58309649122808	20.9784350877193	80.89205438596491	7.719762280701753	9.65061210526316	11.968208596491227	11.699348771929824	10.701076842105262	15.474234561403511	11.73305228070176	49.515784210526284	92.80747894736838	14.12587192982456	69.64937894736842	99.97797719298245	2.219967754385965	30.08053508771931	33.82488947368421	78.84308000000001	30.11429140350877	49.189989473684214	44.70557192982458	122.23732105263157	55.12056315789474	51.74019122807018	70.82281929824562	34.449084210526316	54.010327543859646	23.760405263157892	48.3510947368421	38.389229824561404	21.92380543859649	44.845115789473695	6.68737701754386	17.236332982456137	49.76955263157894	28.94658807017543	9.732720701754387	46.104545087719316	59.280456140350886	45.34881929824561	60.83405385964913	105.94405263157894	42.778828070175464	63.03323859649122	16.006408421052633	36.67997894736842	61.66312456140352	101.87392280701755	36.217991052631575	23.820863157894742	13.363847017543854	20.561808947368423	20.677056491228058	61.64271228070175	27.991854385964928	32.01831929824561	33.05876140350877	35.837352631578945	9.142044561403509	51.30520350877193	6.001184035087721	36.55625087719298	6.490992105263157	17.282442105263158	47.09241929824562	44.499157894736854	13.997269122807019	41.99382456140349	48.72737192982454	31.087423333333334	27.644201754385964	49.13814912280703	40.468505263157894	6.787746315789474	15.408163157894744	39.210816315789494	34.28853333333333	24.432983157894746	31.992121929824556	29.21291578947369	17.991796666666673	25.77225771929824	13.472407894736842	60.102108771929814
AAA023-L09/LD12	6.313582236842106	18.215738868421052	8.725355171052632	10.034704105263156	8.891624697368421	7.985807894736843	3.55745062763158	9.017788697368422	39.012188671052634	14.440548197368422	12.36913197368421	7.6432486447368415	54.620485657894726	13.597014881578954	57.7210856631579	5.210759671052631	6.137845815789473	7.63332218421053	7.544309605263157	7.075468381578943	10.723890947368416	8.56508107894737	33.23812189473683	70.26067973684209	8.298111710526316	46.75890568421053	3.3702347302631583	8.371547671052634	21.139644368421052	23.32255715789474	55.44770261842104	21.036276877631586	33.46265385526316	31.448113763157906	88.85626918421056	37.38893961842105	37.52800709210526	50.74591930263158	23.058133578947373	38.26880447368421	15.94221435526316	32.92392331578949	25.136086552631568	14.095218986842108	27.78644698684209	4.269702259210526	11.188098552631578	34.46967975	17.71858127631579	6.469560486842108	32.35149621052631	40.38718275000001	31.731702342105265	43.49354760526316	74.27510331973686	29.70526015789474	44.12962426315789	10.078724184210527	24.81512107894737	43.509431973684215	74.2288172236842	26.018809697368425	24.237660092105273	8.002219236842107	13.947035315789476	13.655921999999995	43.0456979868421	18.742627250000005	18.979545210526307	23.13024505263158	24.588570671052636	4.529539105263159	36.489088065789474	3.6699358552631582	25.06805888157895	3.682489644736843	11.234180868421054	30.85321373684211	29.728232157894734	9.350686326315786	29.023103868421053	32.84772636842106	23.004515447368426	18.58595890789474	33.65011219736842	27.348293697368426	4.5964306421052665	9.385497960526315	27.67635261842105	24.83650956578947	15.798080065789472	22.809719355263162	20.12095210526316	12.30616701315789	16.749156960526314	8.616288128947373	43.3051075131579
AAA023-J06/acI-A7	0.5065593306122449	0.15644052714285714	0.18679363877551025	0.2709729530612245	0.09824363051020413	0.7227875244897959	0.8423229346938776	0.1448411887755102	0.5393658224489795	0.14944226122448978	0.1319609374489796	0.04171858795918367	1.7089122367346934	0.1841028533673469	5.166466262244897	0.3322896714285714	0.2339868408163265	0.19155897244897954	0.13477138877551026	1.5785023224489796	0.2510798520408163	23.122095724489785	15.618745469387758	1.1840324030612248	0.7606414591836738	1.3459200571428571	1.268544519387755	0.8203543408163264	2.042109514285714	0.7858530132653059	2.740272709183673	1.6038560397959176	1.294301557142857	3.1301332112244884	4.623067108163267	0.9485264979591834	1.5243899336734692	26.508004326530624	0.6000458836734693	10.056450259183674	1.502191076530612	0.3445292953061225	0.6071517459183677	0.3707705989795918	1.0741090326530611	0.1968403979591837	0.3906005163265305	1.1837166448979592	0.5632112163265306	0.4651842020408162	7.43921632857143	1.8490298204081639	1.4959599030612245	7.508348765306122	8.2244875	4.912499967346942	1.549992843877551	1.041838582653061	1.2379824602040816	2.1690320959183667	1.4926194387755105	6.4580107632653085	1.7232754020408163	0.4861638193877551	0.8890563989795921	0.723161542857143	1.3118131928571426	2.2801783132653064	0.7038982387755103	1.1675745989795916	0.5932134551020407	0.9994749775510208	0.7713880204081632	0.8964354826530614	0.4718939857142858	1.2431060693877551	1.2699375234693877	5.223920618367346	1.1648412448979597	4.9102409112244905	1.3217219938775513	3.5934945846938775	1.3662046520408164	17.94729501020408	1.2481185108163269	4.63339259897959	1.7582496193877557	1.5884205857142852	4.0090916	0.3531445408163265	6.849406925510203	0.9301469632653064	2.413722137755102	11.695390346938776	1.7595240387755111	0.7839424673469387	1.7963669193877552
AAA027-J17/acI-B1	4.228257506172838	11.902643135802467	10.294675580246912	13.920434814814815	16.89498541975308	13.36645186419753	4.835673851851854	14.506777172839511	9.433727740740741	13.702900518518524	9.008217604938274	8.314531037037042	12.714246925925927	19.140491962962965	18.77032091358024	5.804522185185184	9.820999185185183	11.146312109876542	14.32263480246914	8.501710456790125	10.430260654320989	6.401830333333333	48.21818061728396	32.788807234567884	16.13688175308642	15.688530999999998	17.170976456790115	18.822072333333328	5.7796539506172815	21.836357640740747	7.152324740740736	4.386193511111111	29.882384259259247	7.469693279012348	17.58144464074074	31.551972491358033	8.19993698765432	15.62092525925926	25.773987629629637	5.974933790123456	20.23062093827161	11.164230679012343	24.83405239506172	15.279262049382716	50.793266493827154	5.865232950617285	12.282144197530858	17.207297291358014	35.859953086419765	4.359838020987655	7.248254439506176	26.298696246913586	17.98849838271605	7.7909297777777775	17.094694098765434	22.808882987654318	14.94541743209877	26.18839781481481	18.23244691358024	21.71956835802469	16.368215049382716	5.970405123456793	47.83148012345679	18.17357257283949	4.9645762395061706	16.573836975308634	17.764315827160498	16.48354244444444	43.850582876543186	12.510833950617284	14.450942691358025	25.862797209876547	15.766481469135805	15.26287620987654	12.972724469135802	15.872713740740748	4.267290777777779	25.742851191358024	11.967840864197534	5.080767618518516	10.31373040740741	12.193081308641975	8.078516740740739	11.097172777777775	27.016205888888894	11.853983864197529	0.8496495037037036	21.800559429629626	7.440439765432098	6.04660145679012	10.371590617283948	8.4779768	19.247257475308643	6.480465950617282	7.7129820740740715	10.41248466666667	11.361222543209882
AAA027-M14/acI-A1	0.4909104272727273	1.6625836818181816	1.2522870000000002	0.9085228045454544	1.3469231590909092	0.9262089454545454	0.5089290272727272	0.8584750454545454	2.19005235	1.697255268181818	0.6906688136363637	0.5387723954545455	1.426800868181818	2.644231681818181	1.6261046636363636	0.4653434081818182	1.2898422818181816	1.3315662454545452	3.4095857727272727	0.7423959499999999	2.0165956409090904	2.859869636363636	4.234021272727272	21.295567272727272	1.845446863636364	2.3962891818181817	6.830743863636362	1.9228494090909092	0.6881953272727271	1.5960402227272732	1.844669436363636	0.5331458772727272	1.3652724045454547	0.8964381872727273	3.688744272727273	0.9117844863636364	0.6766111272727273	3.880995681818181	1.3144522772727274	1.814074136363636	0.9164045645454546	3.376114999999998	6.2064170545454544	1.654034	6.081698181818182	0.4326933454545455	0.7925046181818179	0.7795704945454546	2.164642045454545	0.3790134918181817	1.5148037136363641	1.922304381818182	0.9236852940909092	1.6109117409090912	2.9868591181818185	1.8319793272727276	0.9747999272727274	3.666449636363636	3.808228045454545	6.639760909090909	5.242420363636363	1.3125844590909093	3.8022492727272734	1.4454503090909092	0.3865487518181819	3.040244772727273	2.1520937727272726	3.0348377454545457	3.2722444909090913	3.6588019090909096	8.295236363636365	2.9849386818181816	1.445403031818182	1.4717687590909092	5.801188045454547	1.5125419090909091	0.3171305545454545	1.5376048363636363	1.803598318181818	0.9484323863636366	0.7646962363636363	0.7819698181818182	1.3587462636363636	2.3211228818181824	2.99416645	2.103784636363637	0.3502337545454545	1.799123181818182	0.9769795363636364	3.340333818181818	1.8634917227272725	1.9764913909090909	1.4407788545454543	1.4538746227272732	1.0912411863636364	0.7439860454545454	1.045257509090909
AAA028-A23/acI-B1	1.39577915625	3.035964609375001	2.0009304375	2.6690160624999995	1.7371995781249996	4.1381541718750015	1.8567124687500005	2.299091484375	3.405136125000001	2.9025560781249995	1.5458975312499996	1.041144359375	8.94872125	4.381245265625	13.53762578125	1.6042422484375003	1.706029046875	1.812723734375001	1.8799176562500008	3.1983844999999995	2.4029868078125	5.61495671875	21.238126875	16.519151718750006	2.1058348906250006	10.341567031250003	8.772504999999999	2.884030890625	5.380945625	4.277833437500001	2.97277528125	3.70659953125	4.0911473437499986	6.148035468749999	11.542421250000006	4.497500921875	5.995391249999999	15.717432968749995	4.027061515625001	5.483937031250003	2.788958109375001	4.2323959375000015	6.9629264062499985	2.627349390625	12.230198749999996	1.3479616875	2.7691873750000005	4.5129445000000015	5.93330009375	1.6659980156250005	4.9732850000000015	3.771044703124999	5.4724059375	2.3642454218749993	13.298799218750002	5.719171375000001	8.041380312500001	4.912486406249998	4.86258421875	8.397281718750003	8.347288906249998	3.9369461875	7.8663123437500015	2.639411421875	2.6889687343750004	4.795753437499998	4.3871004375	4.198359328124999	8.418495625000002	4.644067343749999	7.4031796875	5.445312187500001	3.0888440000000004	3.76194359375	5.565630937499999	3.5176163125000004	1.7842300625000007	14.70800890625	8.75418859375	2.710608796874999	3.5664810156249995	5.67438421875	3.902565828124999	4.107003265625001	6.091735468750002	5.495748125	0.8594725265625	6.631713437499998	4.73096296875	2.843670578125	7.641647031249999	4.617966093749998	9.603367968750002	2.6634956249999995	5.3419709375	3.474841953125	8.17414984375
AAA044-N04/acI-A7	0.5741471826086957	1.3890162686956522	0.5198858713043478	0.4518168956521739	0.5818699982608695	1.0611274652173912	0.6448443478260869	0.5778322060869564	1.1618512347826084	1.3400659017391303	0.4076253347826087	0.3700682147826087	1.8361023782608696	0.9689053782608698	3.561560565217391	0.4158826913043478	0.35059214782608694	0.4197748304347826	0.5623790347826086	0.939226391304348	0.9672155391304348	8.372503565217391	7.585957608695653	2.8450229565217398	0.9522370826086954	1.449752304347826	1.4705676347826089	1.0132892782608696	1.4689894304347826	0.7981434782608695	1.489701347826087	0.9758644782608696	1.2954812173913042	2.1659051739130435	4.017975565217392	1.3855683043478262	1.3564564913043478	10.697647221739132	0.8682724173913045	4.835441217391304	0.8635777347826086	0.7242566086956522	1.669398395652174	0.9330959956521738	2.4004145652173907	0.2265655869565217	0.19418571739130436	1.256072391304348	0.8411385347826087	0.378884352173913	3.4174704347826084	1.7879147956521737	1.6212132608695653	3.518009260869565	4.568856491304348	2.7121197391304346	1.9015721043478255	1.9894024521739129	2.1800567347826085	2.9450596130434783	3.4156603478260874	2.7425654347826085	1.715119608695652	0.7917866130434782	0.6336867826086957	0.915500647826087	1.5357144869565218	1.6620988260869567	1.4707488695652169	1.5111534652173917	1.741666130434783	1.476807504347826	1.1553378652173911	0.7269548695652174	1.4286333782608696	1.0897008391304346	0.5004137391304347	2.6223291304347827	1.5366974391304349	1.5862629695652173	0.9453087260869566	1.4204773565217397	1.156297117391304	5.960995130434783	1.5392683260869564	2.6538084782608693	0.6269401304347827	1.2998584347826088	2.0939336086956524	1.0799734217391304	3.713659882608696	1.0780430826086955	1.938035343478261	4.9095708260869575	0.9880520869565216	0.6301161043478261	1.3797361304347826
AAA278-I18/acI-B1	0.08013714222222222	0.1993041177777778	0.1475478025925926	0.2124690601851852	0.23668954092592595	0.2442349042592593	0.10512646055555556	0.1739666144444445	0.15801242962962966	0.2398786137037037	0.17359938703703706	0.1359617237037037	0.2717962174074074	0.2682386675925926	0.5152094764814815	0.10469273796296298	0.11903648833333336	0.2032951809259259	0.2630529205555555	0.1658513675925926	0.13871438592592591	0.18611570759259255	0.6438236927777777	0.6323766524074074	0.2569821027777777	0.2972907774074074	0.2852308425925926	0.2659526479629629	0.21457474759259254	0.4024947994444444	0.2359830366666667	0.1780297377777778	0.2811265872222222	0.3071869614814815	0.5489025231481481	0.3122966183333333	0.2581430707407408	0.5919495018518518	0.4428963494444445	0.2498312292592592	0.3283357779629629	0.23755716666666665	0.4157712994444445	0.18061721148148144	0.6675550672222222	0.07652713851851851	0.1720132346296296	0.30340525777777777	0.3761721157407407	0.05870074018518516	0.2645105377777777	0.3220344246296296	0.2399554333333333	0.2503861727777777	0.6863018240740741	0.4560035351851852	0.3867936537037037	0.391771160925926	0.3488595733333333	0.10350170111111112	0.4788096037037036	0.21550362222222225	0.6231776992592593	0.17483728407407406	0.08194031481481481	0.30817164481481485	0.3207955809259259	0.3681926274074074	0.5891065412962964	0.26524620222222217	0.27713751351851856	0.44629180370370375	0.26817500722222226	0.2495578561111111	0.24414247259259256	0.25584308759259256	0.05095935222222222	0.30774538740740737	0.22716505962962966	0.056618863518518525	0.20293393444444446	0.12020263370370372	0.24316073703703706	0.20357299351851849	0.5328674296296295	0.27031566851851857	0.020749024814814814	0.30108209148148146	0.17055644425925925	0.17338159888888888	0.2355694555555556	0.21398211092592595	0.37135284203703706	0.14193038462962962	0.11100000574074076	0.16303947111111114	0.2542859951851852
AAA278-O22/acI-A1	0.07981364744186048	0.14693440558139534	0.12850355604651162	0.12883499209302327	0.1027602946511628	0.13741283023255813	0.08752846651162792	0.08871535953488373	0.12706526209302327	0.09885235883720933	0.06919768906976742	0.04742732581395349	0.28658418	0.19224768139534884	0.5212745965116279	0.08879226046511628	0.0556464546511628	0.07521600255813955	0.12384489116279067	0.18227806279069766	0.11546981627906977	0.3396824353488372	0.9221762904651164	0.5976068504651162	0.13589152790697676	0.4354146972093023	0.2843547381395349	0.13322596441860465	0.17311629558139535	0.1500600465116279	0.15518923395348838	0.14476520348837207	0.24451615186046516	0.2058270034883721	0.4835835909302326	0.20826808720930232	0.24461265906976745	0.7598470325581397	0.12111395674418605	0.35052192651162795	0.09750385348837208	0.15757961395348838	0.3994457974418605	0.11501177325581395	0.5074047662790698	0.061236119534883726	0.09328355232558136	0.16628002023255814	0.13951000488372092	0.06442010255813953	0.22558121046511626	0.21510301255813952	0.30786096255813955	0.2335144281395349	0.5072212325581396	0.272072261627907	0.3552037495348837	0.3013092813953488	0.28906805046511624	0.4050448272093023	0.37980040953488375	0.18598213674418607	0.2315281118604651	0.09914428581395347	0.1006275146511628	0.15944570441860464	0.038677158837209305	0.1385455693023256	0.2835148034883721	0.2325072553488372	0.3420052034883721	0.19446873604651166	0.12492790511627905	0.16466722953488372	0.2406854565116279	0.20717245418604652	0.09321694720930232	0.3704736825581395	0.2439572881395349	0.11334708441860465	0.07525559279069767	0.21840102395348834	0.13589279488372094	0.15731927302325582	0.2620733879069768	0.2331440334883721	0.07065712906976745	0.2424851939534884	0.1437997218604651	0.15205428558139536	0.2737637239534884	0.18535664767441865	0.3130363530232558	0.1527834334883721	0.13946582348837208	0.14733520162790698	0.1529304748837209
