Time,5A,5B,10A,10B,15A,15B,20A,20B,22A,22B,23A,23B
0,9.837025,5.062035,7.44953,8.187483,6.320896,6.785428,9.726444,9.30444,9.342804,9.150984,10.762272,9.918264
1,8.34534,7.156056,7.424604,6.695688,5.698224,4.202028,7.731516,6.542232,7.501332,7.0026,8.038428,8.115156
2,-2.408416,-2.32596,-2.490872,-1.954908,-1.70754,-1.336488,5.548588,6.702972,5.50736,7.733672,8.640688,7.15648
